id,attribute_mapping_id,internal_value,provider_value,provider_option_text,created_at,updated_at
79b1629c-d66a-4001-92fe-60bc75de073c,f73f52ad-17f9-4e5f-b171-a12ed832a3ce,Male,gender_001,,"2026-02-15 17:54:59.174 +00:00","2026-02-15 17:54:59.174 +00:00"
8af8056f-68ad-44ca-a269-1ae65b8a73ce,f73f52ad-17f9-4e5f-b171-a12ed832a3ce,Female,gender_002,,"2026-02-15 17:54:59.176 +00:00","2026-02-15 17:54:59.176 +00:00"
d240b2d1-6585-469c-bd47-e10fd810b799,3519b1f5-b104-4e69-96a1-ee267840bb67,Single,marital_status_001,,"2026-02-15 17:54:59.187 +00:00","2026-02-15 17:54:59.187 +00:00"
8aa44c94-b53e-4cda-aab3-77a4cad46372,3519b1f5-b104-4e69-96a1-ee267840bb67,Married,marital_status_002,,"2026-02-15 17:54:59.189 +00:00","2026-02-15 17:54:59.189 +00:00"
ea573f1b-f798-42c1-ac7d-c3ba246302db,3519b1f5-b104-4e69-96a1-ee267840bb67,Divorced,marital_status_003,,"2026-02-15 17:54:59.190 +00:00","2026-02-15 17:54:59.190 +00:00"
2c38e869-f995-4228-8e19-cd8698aa7262,3519b1f5-b104-4e69-96a1-ee267840bb67,Widowed,marital_status_004,,"2026-02-15 17:54:59.191 +00:00","2026-02-15 17:54:59.191 +00:00"
bbc7640f-2edb-4019-be55-22ac407739a3,3519b1f5-b104-4e69-96a1-ee267840bb67,Separated,marital_status_005,,"2026-02-15 17:54:59.192 +00:00","2026-02-15 17:54:59.192 +00:00"
13001125-cc37-41ba-8835-0513bc16d17a,fcc25cdf-cb4a-49b0-b900-f86b95fe674f,"Under $25,000",annual_hhi_002330,,"2026-02-15 17:54:59.195 +00:00","2026-02-15 17:54:59.195 +00:00"
f0889109-7a99-4434-9ad3-c870835df7a0,fcc25cdf-cb4a-49b0-b900-f86b95fe674f,"$25,000 - $49,999",annual_hhi_002334,,"2026-02-15 17:54:59.196 +00:00","2026-02-15 17:54:59.196 +00:00"
ffc468c7-f9ca-420f-a65d-9338495f829e,fcc25cdf-cb4a-49b0-b900-f86b95fe674f,"$50,000 - $74,999",annual_hhi_002338,,"2026-02-15 17:54:59.197 +00:00","2026-02-15 17:54:59.197 +00:00"
eebc4491-e054-4ff8-95bd-94ded0869841,fcc25cdf-cb4a-49b0-b900-f86b95fe674f,"$75,000 - $99,999",annual_hhi_002343,,"2026-02-15 17:54:59.199 +00:00","2026-02-15 17:54:59.199 +00:00"
b7bed449-93f9-4c8d-b17b-e00fbb659222,fcc25cdf-cb4a-49b0-b900-f86b95fe674f,"$100,000 - $149,999",annual_hhi_002348,,"2026-02-15 17:54:59.200 +00:00","2026-02-15 17:54:59.200 +00:00"
8c78399c-ad67-4d03-a545-394769de62d8,fcc25cdf-cb4a-49b0-b900-f86b95fe674f,"$150,000+",annual_hhi_002353,,"2026-02-15 17:54:59.201 +00:00","2026-02-15 17:54:59.201 +00:00"
db1fdc5b-623b-41aa-8d01-0a0e1ebde3b2,d0947c73-26f2-4519-946c-6c9eca8ee7ec,Yes,mobilephone_user_00833,,"2026-02-15 17:54:59.203 +00:00","2026-02-15 17:54:59.203 +00:00"
50985ee3-6fdb-4f34-81f8-d18dd2626989,d0947c73-26f2-4519-946c-6c9eca8ee7ec,No,mobilephone_user_00834,,"2026-02-15 17:54:59.204 +00:00","2026-02-15 17:54:59.204 +00:00"
9e8549fb-c02a-4203-b72b-a78831a263bb,dd777353-f105-472d-98ee-baeaaa9666e0,"Smart Phone",cell_type_003287,,"2026-02-15 17:54:59.206 +00:00","2026-02-15 17:54:59.206 +00:00"
1090bc78-90df-4128-b03a-9a8e7d2962de,5f5fe679-ef8d-4c1d-a7bb-3ae20ff2f392,Male,1,,"2026-02-15 17:54:59.208 +00:00","2026-02-15 17:54:59.208 +00:00"
a2b6643b-65f7-4a34-9569-d40a55152909,5f5fe679-ef8d-4c1d-a7bb-3ae20ff2f392,Female,2,,"2026-02-15 17:54:59.209 +00:00","2026-02-15 17:54:59.209 +00:00"
